EquipmentCode,EquipmentName,Location,TypeOfEquipment,ProductLine,Model,Manufacturer,InstallationDate,Capacity,CapacityUnit,Status,DailyWorkingHours,Length,Width,Height,Weight,AutomationLevel
B1AD4,درب ریلی فوم خ 4,بسپار1 محوطه,تأسیساتی,فوم سرد,INVT -GD10,ایران,14000505,0,,فعال,0,10,0.2,2.6,1,2
B1AD6,درب ریلی فوم خ 6,بسپار1 محوطه,تأسیساتی,فوم سرد,NICE,ایران,14000505,0,,فعال,0,10,0.15,2.5,1,2
B1AF1,دیزل ژنراتور فوم,بسپار1 محوطه,تأسیساتی,فوم سرد,کامینز6CTAA803-G9,آمریکا/انگلستان,13970725,250,230-400 ولت,فعال,0,2.5,1,2,1,2
B1AF2,گرماتاب سقفی ایزو,بسپار1 مخازن (ایزو),تأسیساتی,مواد اولیه فوم,3 متری,ایران,14000810,50,متر مربع,فعال,8,3,0.6,0.5,0.1,2
B1AF3,گرماتاب سقفی پولیول,بسپار1 مخازن (پولیول),تأسیساتی,مواد اولیه فوم,3 متری,ایران,14000810,50,متر مربع,فعال,8,3,0.6,0.5,0.1,2
B1AF4,گرماتاب سقفی سالن میانی,بسپار1 مخازن (سالن میانی),تأسیساتی,مواد اولیه فوم,5 متری,ایران,14000810,100,متر مربع,فعال,7,5,0.5,0.4,0.1,2
B1Electric,تابلو برق های فوم,بسپار1,تأسیساتی,فوم,الکترونیک,ایران,13950404,0,,فعال,0,0,0,0,0,2
B1FF01,کانوایر فوم پلاس,بسپار1 فوم پلاس,تولیدی,فوم پلاس,0,ایران,0,5,دور در دقیقه,غیرفعال,0,0,0,0,0,2
B1PF15,سانتریفیوژ فن,بسپار1 تولید فوم,تأسیساتی,فوم سرد,5.5 kw,ایران,13940210,6500,CFM,غیرفعال,10,1,0.4,1,0,1
FA-CE 9,سانتریفیوژ فن,بسپار1 تولید فوم,تأسیساتی,فوم سرد,5.5KW,ایران,13940210,6500,CFM,غیرفعال,10,1,0.4,1,0,1
B1Cool Air,کولرهای گازی بسپار 1,بسپار1,تأسیساتی,اداری,******,ایران,14020101,0,,فعال,8,0,0,0,0,1
